fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"CENTRAL FINANCE COMPANY LTD.","CFCL",202,385,385,365,371,"2022-08-05"
"CENTRAL FINANCE COMPANY LTD.","CFCL",341,405,405,380.1,381,"2022-08-04"
"CENTRAL FINANCE COMPANY LTD.","CFCL",267,404,408,397,398,"2022-08-03"
"CENTRAL FINANCE COMPANY LTD.","CFCL",271,399,401,387.1,397,"2022-08-02"
"CENTRAL FINANCE COMPANY LTD.","CFCL",408,395,396,377,392,"2022-08-01"
"CENTRAL FINANCE COMPANY LTD.","CFCL",301,395,399.8,384,387.9,"2022-07-31"
"CENTRAL FINANCE COMPANY LTD.","CFCL",160,392,392,382,389.6,"2022-07-29"
"CENTRAL FINANCE COMPANY LTD.","CFCL",507,380,402,377.3,385,"2022-07-28"
"CENTRAL FINANCE COMPANY LTD.","CFCL",433,372,390,363,385,"2022-07-27"
"CENTRAL FINANCE COMPANY LTD.","CFCL",601,399,399,373,379,"2022-07-26"
"CENTRAL FINANCE COMPANY LTD.","CFCL",539,375,401.8,375,392,"2022-07-25"
"CENTRAL FINANCE COMPANY LTD.","CFCL",582,328.3,368.5,328.3,368.5,"2022-07-24"
"CENTRAL FINANCE COMPANY LTD.","CFCL",345,332,345,319,335,"2022-07-22"
"CENTRAL FINANCE COMPANY LTD.","CFCL",380,316,337.9,311.6,326,"2022-07-21"
"CENTRAL FINANCE COMPANY LTD.","CFCL",173,306.1,326,306,316,"2022-07-20"
"CENTRAL FINANCE COMPANY LTD.","CFCL",236,297,319.9,297,311,"2022-07-19"
"CENTRAL FINANCE COMPANY LTD.","CFCL",93,290,304.7,290,303,"2022-07-18"
"CENTRAL FINANCE COMPANY LTD.","CFCL",89,300,306.1,290,295.3,"2022-07-17"
"CENTRAL FINANCE COMPANY LTD.","CFCL",73,297,309,292,302,"2022-07-15"
"CENTRAL FINANCE COMPANY LTD.","CFCL",214,302,308,295.1,303,"2022-07-14"
"CENTRAL FINANCE COMPANY LTD.","CFCL",122,284,306,273.5,299.4,"2022-07-13"
"CENTRAL FINANCE COMPANY LTD.","CFCL",145,261.3,280,261.3,279,"2022-07-12"
"CENTRAL FINANCE COMPANY LTD.","CFCL",211,279.5,280,266.6,266.6,"2022-07-11"
"CENTRAL FINANCE COMPANY LTD.","CFCL",81,289.6,295,285,285.1,"2022-07-08"
"CENTRAL FINANCE COMPANY LTD.","CFCL",220,307.1,318,295,295.5,"2022-07-07"
"CENTRAL FINANCE COMPANY LTD.","CFCL",235,295,306,278.4,301.1,"2022-07-06"
"CENTRAL FINANCE COMPANY LTD.","CFCL",253,294,316,290,290.1,"2022-07-05"
"CENTRAL FINANCE COMPANY LTD.","CFCL",439,310,328,290,300,"2022-07-04"
"CENTRAL FINANCE COMPANY LTD.","CFCL",213,281.1,306,279.9,306,"2022-07-03"
"CENTRAL FINANCE COMPANY LTD.","CFCL",183,298.8,306,285,286,"2022-07-01"
"CENTRAL FINANCE COMPANY LTD.","CFCL",291,273,294.8,273,293,"2022-06-30"
"CENTRAL FINANCE COMPANY LTD.","CFCL",141,258,269,250.4,268,"2022-06-29"
"CENTRAL FINANCE COMPANY LTD.","CFCL",71,262,265,252,253.2,"2022-06-28"
"CENTRAL FINANCE COMPANY LTD.","CFCL",157,271.3,280,259,262,"2022-06-27"
"CENTRAL FINANCE COMPANY LTD.","CFCL",168,257,272.6,257,266,"2022-06-26"
"CENTRAL FINANCE COMPANY LTD.","CFCL",96,248.9,268,239.2,252,"2022-06-24"
"CENTRAL FINANCE COMPANY LTD.","CFCL",112,258,258,237,245,"2022-06-23"
"CENTRAL FINANCE COMPANY LTD.","CFCL",71,270,270,252.8,253,"2022-06-22"
"CENTRAL FINANCE COMPANY LTD.","CFCL",158,253.9,268,249,265,"2022-06-21"
"CENTRAL FINANCE COMPANY LTD.","CFCL",196,269,269,245,249,"2022-06-20"
"CENTRAL FINANCE COMPANY LTD.","CFCL",97,275.4,280,259,264.5,"2022-06-19"
"CENTRAL FINANCE COMPANY LTD.","CFCL",40,278,282.7,270,270,"2022-06-17"
"CENTRAL FINANCE COMPANY LTD.","CFCL",92,265,283,260.1,273,"2022-06-16"
"CENTRAL FINANCE COMPANY LTD.","CFCL",143,278.9,278.9,261.8,268,"2022-06-15"
"CENTRAL FINANCE COMPANY LTD.","CFCL",82,276,285.5,271,274,"2022-06-14"
"CENTRAL FINANCE COMPANY LTD.","CFCL",93,290,295,277,280,"2022-06-13"
"CENTRAL FINANCE COMPANY LTD.","CFCL",74,292,292,281,285,"2022-06-10"
"CENTRAL FINANCE COMPANY LTD.","CFCL",186,303.9,309,284,288,"2022-06-09"
